club_id,reg_no,institution_name,state,zone,patron_email,president_email,secretary_email,date_of_approval,last_renewal_date,renewal_date,status,approved_by_emp_id,updated_at,submission_timestamp,next_renewal_date
NDLI-EMP01-002,REG-2025-EMP01-002,Delhi Advanced Technical Institute,Delhi,North,director@dati.ac.in,pres.dati@dati.ac.in,sec.dati@dati.ac.in,2024-08-15T10:00:00Z,,2025-08-15,Approved,EMP01,2026-09-13T17:36:09.650596+00:00,2024-08-15T10:00:00Z,2025-08-15
NDLI-WB-101,REG-2024-WB-001,Indian Institute of Technology Kharagpur,West Bengal,East,director@iitkgp.ac.in,president.club@iitkgp.ac.in,secretary.club@iitkgp.ac.in,2025-03-31T10:00:00Z,2026-03-31T10:00:00Z,2027-03-31,Approved,EMP04,2026-09-13T17:36:09.749011+00:00,2025-03-31T10:00:00Z,2027-03-31
NDLI-DL-102,REG-2024-DL-002,Delhi Technological University,Delhi,North,vc@dtu.ac.in,ndli.pres@dtu.ac.in,ndli.sec@dtu.ac.in,2024-12-15T11:30:00Z,2025-12-15T11:30:00Z,2026-12-15,Approved,EMP01,2026-09-13T17:36:09.847484+00:00,2024-12-15T11:30:00Z,2026-12-15
NDLI-MH-103,REG-2024-MH-003,College of Engineering Pune (COEP),Maharashtra,West,director@coeptech.ac.in,club.head@coeptech.ac.in,club.sec@coeptech.ac.in,2025-11-20T11:00:00Z,2026-09-13T17:36:11.887141+00:00,2028-12-31,Active (Renewed),EMP03,2026-09-13T17:36:11.887170+00:00,2025-11-20T11:00:00Z,2028-12-31
NDLI-TN-104,REG-2024-TN-004,Anna University Chennai,Tamil Nadu,South,vc@annauniv.edu,pres.ndli@annauniv.edu,sec.ndli@annauniv.edu,2025-01-10T12:00:00Z,2026-01-10T12:00:00Z,2027-01-10,Approved,EMP07,2026-09-13T17:36:10.045956+00:00,2025-01-10T12:00:00Z,2027-01-10
NDLI-AS-105,REG-2024-AS-005,Gauhati University,Assam,North East,vc@gauhati.ac.in,ndli.gu@gauhati.ac.in,secretary.gu@gauhati.ac.in,2025-09-30T09:15:00Z,,2026-09-30,Approved,EMP05,2026-09-13T17:36:10.148350+00:00,2025-09-30T09:15:00Z,2026-09-30
NDLI-MP-106,REG-2024-MP-006,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,Central,director@manit.ac.in,ndli.head@manit.ac.in,ndli.coord@manit.ac.in,2025-10-15T14:20:00Z,,2026-10-15,Approved,EMP02,2026-09-13T17:36:10.245076+00:00,2025-10-15T14:20:00Z,2026-10-15
NDLI-KA-107,REG-2024-KA-007,Indian Institute of Science Bengaluru,Karnataka,South,director@iisc.ac.in,pres.ndli@iisc.ac.in,sec.ndli@iisc.ac.in,2025-05-01T10:30:00Z,2026-05-01T10:30:00Z,2027-05-01,Approved,EMP06,2026-09-13T17:36:10.351059+00:00,2025-05-01T10:30:00Z,2027-05-01
NDLI-TEST-999,REG-TEST-999,Test Engineering College Raipur,Chhattisgarh,Central,patron@test.edu,pres@test.edu,sec@test.edu,2026-09-13T17:36:10.944126+00:00,,2027-09-13,Approved,EMP02,2026-09-13T17:36:10.944126+00:00,2026-09-13T17:36:10.944126+00:00,2027-09-13
NDLI-AUTO-REN-01,REG-AUTO-01,Automated Renewal University,Assam,,patron@auto.edu,pres@auto.edu,sec@auto.edu,2026-09-13T17:36:11.143592+00:00,2026-09-13T17:36:11.285518+00:00,2027-09-13,Active (Renewed),EMP05,2026-09-13T17:36:11.285645+00:00,2026-09-13T17:36:11.143592+00:00,2027-09-13
