issue_id,club_id,emp_id,institution_name,state,zone,issue_note,status,created_at,reminder_due_at,admin_reminder_due_at,last_reminded_at,resolved_at,resolved_by,resolution_notes,updated_at
ISS-NDLI-DL-102-1789305543052-83591D,NDLI-DL-102,EMP01,Delhi Technological University,Delhi,North,32-day overdue issue for dual-schedule verification.,Unresolved,2026-08-12T13:19:03.049885+00:00,2026-09-16T13:19:03.049885+00:00,2026-09-20T13:19:03.087604+00:00,2026-09-13T13:19:03.087604+00:00,,,Admin reviewed; follow up in 7 days.,2026-09-13T13:19:03.087604+00:00
ISS-NDLI-WB-101-1789305543125-73D969,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Rapid concurrent note 0,Unresolved,2026-09-13T13:19:03.125620+00:00,2026-09-16T13:19:03.125620+00:00,2026-10-13T13:19:03.125620+00:00,,,,,2026-09-13T13:19:03.125620+00:00
ISS-NDLI-WB-101-1789305543179-ADE63D,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Rapid concurrent note 1,Unresolved,2026-09-13T13:19:03.179937+00:00,2026-09-16T13:19:03.179937+00:00,2026-10-13T13:19:03.179937+00:00,,,,,2026-09-13T13:19:03.179937+00:00
ISS-NDLI-WB-101-1789305543228-1EC4A1,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Rapid concurrent note 2,Unresolved,2026-09-13T13:19:03.228904+00:00,2026-09-16T13:19:03.228904+00:00,2026-10-13T13:19:03.228904+00:00,,,,,2026-09-13T13:19:03.228904+00:00
ISS-NDLI-WB-101-1789305543271-955977,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Rapid concurrent note 3,Unresolved,2026-09-13T13:19:03.271501+00:00,2026-09-16T13:19:03.271501+00:00,2026-10-13T13:19:03.271501+00:00,,,,,2026-09-13T13:19:03.271501+00:00
ISS-NDLI-WB-101-1789305543310-3DD73A,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Rapid concurrent note 4,Unresolved,2026-09-13T13:19:03.309985+00:00,2026-09-16T13:19:03.309985+00:00,2026-10-13T13:19:03.309985+00:00,,,,,2026-09-13T13:19:03.309985+00:00
ISS-NDLI-WB-101-1789305543361-A9BA81,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Special edge case: Employee follow-up near 30d escalation boundary.,Unresolved,2026-08-16T13:19:03.358930+00:00,2026-09-20T13:19:03.438707+00:00,2026-09-15T13:19:03.358930+00:00,2026-09-13T13:19:03.438707+00:00,,,Employee still working on zonal issue.,2026-09-13T13:19:03.438707+00:00
ISS-NDLI-DL-102-1789305544571-2DDF6F,NDLI-DL-102,EMP01,Delhi Technological University,Delhi,North,Patron reported issue with membership renewal confirmation.,Resolved,2026-09-13T13:19:04.567442+00:00,2026-09-20T13:19:04.635137+00:00,2026-10-13T13:19:04.567442+00:00,2026-09-13T13:19:04.635137+00:00,2026-09-13T13:19:04.710797+00:00,EMP01,Patron submitted valid documentation; issue closed.,2026-09-13T13:19:04.710797+00:00
ISS-NDLI-WB-101-1789305544774-418743,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Minor ticket synchronization delay.,Unresolved,2026-08-19T13:19:04.772468+00:00,2026-08-22T13:19:04.772468+00:00,2026-09-18T13:19:04.772468+00:00,,,,,2026-09-13T13:19:04.774440+00:00
ISS-NDLI-WB-101-1789305545038-643502,NDLI-WB-101,EMP04,Indian Institute of Technology Kharagpur,West Bengal,East,Critical server timeout during registration batch upload.,Resolved,2026-08-12T13:19:04.772468+00:00,2026-08-15T13:19:04.772468+00:00,2026-09-20T13:19:05.116611+00:00,2026-09-13T13:19:05.116611+00:00,2026-09-13T13:19:05.178594+00:00,admin@iitkgp.ac.in,Central admin resolved server timeout and re-indexed batch.,2026-09-13T13:19:05.178594+00:00
